docid	title	date_year	decade	recipient	recipient_id	recipient_short	recipient_gender	recipient_type	n_words
BC_1761_EMONTAGU_ED	Letter from Elizabeth Montagu to Edward Montagu	1761	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	281
BC_1759_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1759	1750	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	950
BC_1768_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1768	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	671
BC_1770_EMONTAGU_EV	Letter from Elizabeth Montagu to Elizabeth Vesey	1770	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	413
BC_1764_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1764	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1214
BC_1777_EMONTAGU_MA_1	Letter from Elizabeth Montagu to Mary Robinson	1777	1770	Mary Robinson	#MA	Mary Robinson	female	nuclear family	1149
BC_1740_EMONTAGU_AD_1	Letter from Elizabeth Robinson to Anne Donnellan	1740	1730	Anne Donnellan	#AD	Anne Donnellan	female	friends	1636
BC_1764_EMONTAGU_EV_3	Letter from Elizabeth Montagu to Elizabeth Vesey	1764	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1522
BC_1759_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1759	1750	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	779
BC_1768_EMONTAGU_EC_3	Letter from Elizabeth Montagu to Elizabeth Carter	1768	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	322
BC_1769_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1769	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	611
BC_1749_EMONTAGU_LB	Letter from Elizabeth Montagu to Lydia Catherina Brydges, the Duchess of Chandos	1749	1740	Lydia Catherine Brydges née Vanhatten, 3rd Duchess of Chandos	#LB	Lydia Catherine Brydges née Vanhatten	female	acquaintances	837
BC_1765_EMONTAGU_EV_1	Letter from Elizabeth Montagu to Elizabeth Vesey	1765	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	972
BC_1740_EMONTAGU_AD_5	Letter from Elizabeth Robinson to Anne Donnellan	1740	1730	Anne Donnellan	#AD	Anne Donnellan	female	friends	237
BC_1742_EMONTAGU_ED_2	Letter from Elizabeth Montagu to Edward Montagu	1742	1740	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	562
BC_1742_EMONTAGU_ED_3	Letter from Elizabeth Montagu to Edward Montagu	1742	1740	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	398
BC_1740_EMONTAGU_AD_4	Letter from Elizabeth Robinson to Anne Donnellan	1740	1730	Anne Donnellan	#AD	Anne Donnellan	female	friends	934
BC_1771_EMONTAGU_BS	Letter from Elizabeth Montagu to Benjamin Stillingfleet	1771	1770	Benjamin Stillingfleet, Esq.	#BS	Benjamin Stillingfleet	male	friends	275
BC_1748_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Robinson	1748	1740	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	635
BC_1759_EMONTAGU_EC_4	Letter from Elizabeth Montagu to Elizabeth Carter	1759	1750	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	1003
BC_1775_EMONTAGU_SS	Letter from Elizabeth Montagu to Sarah Scott	1775	1770	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	357
BC_1759_EMONTAGU_FB	Letter from Elizabeth Montagu to Frances Boscawen	1759	1750	Frances Boscawen née Glanville	#FB	Frances Boscawen née Glanville	female	friends	241
BC_1786_EMONTAGU_SS_1	Letter from Elizabeth Montagu to Sarah Scott	1786	1780	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	793
BC_1770_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1770	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	596
BC_1769_EMONTAGU_ED	Letter from Elizabeth Montagu to Edward Montagu	1769	1760	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	926
BC_1775_EMONTAGU_EC_1	Letter from Elizabeth Montagu to Elizabeth Carter	1775	1770	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	872
BC_1769_EMONTAGU_EC_2	Letter from Elizabeth Montagu to Elizabeth Carter	1769	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	596
BC_1768_EMONTAGU_EC_4	Letter from Elizabeth Montagu to Elizabeth Carter	1768	1760	Elizabeth Carter	#EC	Elizabeth Carter	female	friends	547
BC_1786_EMONTAGU_SS_3	Letter from Elizabeth Montagu to Sarah Scott	1786	1780	Sarah Scott née Robinson	#SS	Sarah Scott née Robinson	female	nuclear family	901
BC_1765_EMONTAGU_EV_2	Letter from Elizabeth Montagu to Elizabeth Vesey	1765	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1696
BC_1764_EMONTAGU_EV_4	Letter from Elizabeth Montagu to Elizabeth Vesey	1764	1760	Elizabeth Vesey	#EV	Elizabeth Vesey	female	friends	1588
BC_178x_EMONTAGU_EC	Letter from Elizabeth Montagu to Elizabeth Carter			Elizabeth Carter	#EC	Elizabeth Carter	female	friends	302
BC_1742_EMONTAGU_ED_1	Letter from Elizabeth Montagu to Edward Montagu	1742	1740	Edward Montagu, Esq.	#ED	Edward Montagu	male	nuclear family	1256
