img,parish_all,parish_rem
LMSLPS150290012,0,0
LMSLPS150290013,1,0
LMSLPS150290046,0,0
LMSLPS150290096,0,0
LMSLPS150290106,0,0
LMSLPS150290107,0,0
LMSLPS150290108,0,0
LMSLPS150290109,0,0
LMSLPS150290111,1,0
LMSLPS150290113,1,1
LMSLPS150290115,1,1
LMSLPS150290118,1,1
LMSLPS150290120,1,1
LMSLPS150290122,1,1
LMSLPS150290123,1,1
LMSLPS150290125,1,1
LMSLPS150290127,1,1
LMSLPS150290129,1,1
LMSLPS150290132,1,1
LMSLPS150290134,1,1
LMSLPS150290136,1,1
LMSLPS150300034,1,0
LMSLPS150300053,0,0
LMSLPS150300071,0,0
LMSLPS150300073,0,0
LMSLPS150300088,0,0
LMSLPS150300092,1,1
LMSLPS150300094,1,1
LMSLPS150300096,1,1
LMSLPS150300098,1,1
LMSLPS150300100,1,1
LMSLPS150300102,1,1
LMSLPS150300104,1,1
LMSLPS150300106,1,1
LMSLPS150300108,1,1
LMSLPS150300110,1,1
LMSLPS150300112,1,1
LMSLPS150300114,1,1
LMSLPS150300116,1,1
LMSLPS150300118,1,1
LMSLPS150300120,1,1
LMSLPS150300122,1,1
LMSLPS150300124,1,1
LMSLPS150300126,1,1
LMSLPS150300128,1,1
LMSLPS150300130,1,1
LMSLPS150300132,1,1
LMSLPS150300134,1,1
LMSLPS150300136,1,1
LMSLPS150300139,1,1
LMSLPS150300141,1,1
LMSLPS150300143,1,1
LMSLPS150310013,0,0
LMSLPS150310058,0,0
LMSLPS150310059,0,0
LMSLPS150310072,1,0
LMSLPS150310098,0,0
LMSLPS150310103,0,0
LMSLPS150310123,1,1
LMSLPS150310125,1,1
LMSLPS150310127,1,1
LMSLPS150310128,1,1
LMSLPS150310130,1,1
LMSLPS150310132,1,1
LMSLPS150310134,1,1
LMSLPS150310136,1,1
LMSLPS150310138,1,1
LMSLPS150310140,1,1
LMSLPS150310142,1,1
LMSLPS150310144,1,1
LMSLPS150310146,1,1
LMSLPS150310148,1,1
LMSLPS150310150,0,0
LMSLPS150310152,1,1
LMSLPS150310154,1,1
LMSLPS150310161,0,0
LMSLPS150310162,0,0
LMSLPS150310163,0,0
LMSLPS150310164,0,0
LMSLPS150310165,0,0
LMSLPS150310166,0,0
LMSLPS150310167,0,0
LMSLPS150310168,0,0
LMSLPS150310169,0,0
LMSLPS150310170,0,0
LMSLPS150310171,0,0
LMSLPS150310172,0,0
LMSLPS150310173,0,0
LMSLPS150310174,0,0
LMSLPS150310175,0,0
LMSLPS150310176,0,0
LMSLPS150310177,0,0
LMSLPS150320022,0,0
LMSLPS150320058,1,0
LMSLPS150320061,0,0
LMSLPS150320077,1,0
LMSLPS150320110,0,0
LMSLPS150320111,0,0
LMSLPS150320112,0,0
LMSLPS150320113,0,0
LMSLPS150320115,1,1
LMSLPS150320117,1,1
LMSLPS150320119,1,1
LMSLPS150320121,1,1
